Date,Country,Bias motivations,Type of incident,Source,Description
2016-09,Turkey,Anti-LGBTI hate crime,Threats,London Legal Group (LLG),A transgender woman was forced to leave her apartment after being repeatedly threatened with rape by a group living in her neighbourhood.
2016-08,Turkey,Anti-LGBTI hate crime,Violent attacks against people,London Legal Group (LLG),"A transgender woman was attacked by perpetrators yielding a knife and an iron rod. The victim contacted the police, who removed the knife from the assailants. The assailants then attacked the victim again, verbally abusing her."
2016-03,United Kingdom,Anti-Muslim hate crime,Violent attacks against people,International Human Rights Commission,An Ahmadiyya Muslim man was stabbed and killed after the victim claimed to be a new prophet on social media.
2016-04,Spain,Racist and xenophobic hate crime,Violent attacks against people,Hatento,"After being subjected to racist abuse and falsely accused of sexual assault, a homeless man of African descent was insulted and assaulted by police officers."
2016-01,Spain,Racist and xenophobic hate crime,Violent attacks against people,Union of Islamic Communities of Spain,An Arab man was attacked by a group that accused the victim of wishing to rob them.
2016-01,Spain,Racist and xenophobic hate crime,Attacks against property,Union of Islamic Communities of Spain,A Morrocan family's house was vandalized with xenophobic graffiti and bottles filled with corrosive acid were poured on the residence.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,Union of Islamic Communities of Spain,A mosque was vandalized with pork meat and blood.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,Union of Islamic Communities of Spain,A mosque's building site was vandalized with anti-Muslim graffiti and two pigs' heads were left on the site.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,Union of Islamic Communities of Spain,Anti-Muslim graffiti were spray-painted on a public wall.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,"SETA, Union of Islamic Communities of Spain",A mosque was vandalized with anti-Muslim graffiti.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,"Cabinet of Social Studies (GES), SETA, Union of Islamic Communities of Spain",Flare bombs were thrown at a mosque by a group demonstrating in front of the building.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,"Cabinet of Social Studies (GES), SETA, Union of Islamic Communities of Spain",An Islamic cultural centre was vandalized with anti-Muslim graffiti.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,Union of Islamic Communities of Spain,Anti-Muslim graffiti were spray-painted on several sections of a highway.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,"SETA, Union of Islamic Communities of Spain",A mosque was vandalized and covered with pig's blood and entrails.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,Union of Islamic Communities of Spain,Swastikas were spray-painted on a mosque.
2016-04,Spain,Anti-Muslim hate crime,Violent attacks against people,"Cabinet of Social Studies (GES), Union of Islamic Communities of Spain",An Arab man was shot 12 times by a police officer who voiced anti-Muslim views while being arrested.
2016-07,Spain,Anti-Muslim hate crime,Violent attacks against people,Union of Islamic Communities of Spain,A man of African descent was violently pushed off his bicycle while passing through an anti-Muslim demonstration.
2016-07,Spain,Racist and xenophobic hate crime,Attacks against property,Union of Islamic Communities of Spain,Several xenophobic graffiti were spray-painted on public walls.
2016-09,Spain,Racist and xenophobic hate crime,Violent attacks against people,"SETA, Union of Islamic Communities of Spain",A Moroccan man was stabbed to death following an altercation.
2016-09,Spain,Anti-Muslim hate crime,Violent attacks against people,"Cabinet of Social Studies (GES), Union of Islamic Communities of Spain",A pregnant Muslim woman wearing a headscarf and her husband were subjected to insults and assaulted in front of their children. The perpetrators were arrested.
2016-02,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A trailer in a Roma settlement was targeted in an arson attack.
2016-02,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A number of houses belonging to 10 Roma people were vandalized and partly destroyed during their absence.
2016-04,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,Roma houses were damaged during a protest.
2016-04,Italy,Anti-Roma hate crime,Threats,Association 21 July,A group attempted to attack a Roma settlement following a football match but were prevented by police.
2016-04,Italy,Anti-Roma hate crime,Violent attacks against people,Association 21 July,A Romanian woman was injured during an attack in which three paper bombs were thrown at a Roma settlement.
2016-06,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,The house of a municipal councillor was vandalised with anti-Roma graffiti.
2016-06,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A Roma's family house was damaged by rifle fire and their car was the target of an arson attack.
2016-07,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A Roma settlement was the target of an arson attack. This was one of two such incidents targeting this settlement.
2016-08,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A Roma settlement was the target of an arson attack. This was the second such incident targeting this settlement.
2016-10,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A Roma settlement was attacked and damaged by a group armed with sticks and a firearm.
2016-10,Italy,Anti-Roma hate crime,Attacks against property,Association 21 July,A caravan inhabited by a Roma family was targeted in an arson attack.
2016-04,Slovakia,Anti-Muslim hate crime,Violent attacks against people,"Islamic Foundation in Slovakia, SETA",A Muslim woman was insulted and robbed while using public transport.
2016,Slovakia,Anti-Muslim hate crime,Violent attacks against people,Islamic Foundation in Slovakia,A Muslim woman had her headscarf used to strangle her while she was using public transport.
2016-08,Slovakia,Racist and xenophobic hate crime,Attacks against property,"Islamic Foundation in Slovakia, SETA",The windows of a Turkish restaurant were broken shortly after the owner was threatened.
2016-02,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation",A Congolese man was attacked and pepper-sprayed after being subjected to racist insults.
2016-07,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation",An Angolan man was attacked and seriously injured.
2016-04,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation",A Congolese man was subjected to racist insults and robbed by a group.
2016-06,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation","A Congolese man was subjected to racist insults, robbed, knocked to the ground and kicked in the head by a group. The victim was hospitalized with serious injuries."
2016-11,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation","An Angolan man was subjected to racist insults, physically assaulted and robbed by a group."
2016-03,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation",An Afghan man was subjected to racist slurs and attacked by two law-enforcement officers. The victim was hospitalized.
2016-01,Russian Federation,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Violent attacks against people,"Civic Assistance Committee, UNHCR in Russian Federation",An Afghan man was physically assaulted and sustained serious injuries.
2016-04,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,Civic Assistance Committee,Two Tajik men were subjected to racist insults and physically assaulted by a group. One of the victims was hospitalized.
2016-04,Russian Federation,"Racist and xenophobic hate crime, Anti-LGBTI hate crime",Violent attacks against people,Civic Assistance Committee,Two Guatemalan men were assaulted after being subjected to racist and homophobic insults. The victims were presumed to be a couple.
2016-04,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,Civic Assistance Committee,A Tajik man was physically assaulted after being subjected to racist insults and death threats.
2016-05,Serbia,Racist and xenophobic hate crime,Attacks against property,Regional Centre for Minorities (RCM),Neo-Nazi graffiti were spray-painted on various public walls in a city centre.
2016-06,Serbia,Anti-Roma hate crime,Violent attacks against people,Regional Centre for Minorities (RCM),A Roma boy playing accordion was slapped in the face by a city employee.
2016-05,Italy,Anti-Semitic hate crime,Violent attacks against people,Observatory on anti-Semitism,A group of students visibly identifiable as Jewish was insulted and assaulted by another group while leaving a football field.
2016-02,Italy,Anti-Semitic hate crime,Attacks against property,Observatory on anti-Semitism,"A Jewish cemetery was vandalized, religious items were stolen and damaged."
2016-07,Serbia,Anti-Muslim hate crime,Attacks against property,"Regional Centre for Minorities (RCM), SETA","A Muslim cemetery was vandalized the day of the end of Ramadan, 34 tombs were destroyed."
2016-10,Italy,Anti-Semitic hate crime,Attacks against property,Observatory on anti-Semitism,A menorah placed on a tombstone was covered in white paint.
2016-11,Serbia,Anti-Roma hate crime,Threats,Regional Centre for Minorities (RCM),Workers rebuilding houses for Roma families that were the victim of floods were threatened with violence by local residents.
